"2017-11-30 23:09:11.325591"
"StockName","LastTrade","LastHi","Hi52","LastLo","Lo52","EPS","PE","DivYield","LastDiv","NetProfitMargin","OperatingMargin","EBITDMargin","ReturnOnAverageAssets","ReturnOnAverageEquity","ExchangeCode","Exchange"
"Brandhouse Retails Limited","0.66","","1.92","","0.57","-5.45","","","","-5.83%","2.37%","2.77%","-4.95%","-36.82%","533059","BSE"
"IM+ Capitals Ltd","68.00","68.00","76.40","65.50","30.55","","","","","-0.37%","42.14%","43.19%","-0.04%","1.58%","511628","BSE"
"Brigade Enterprises Limited","304.45","308.45","322.00","296.10","145.00","14.59","20.87","0.66","2.00","8.26%","22.59%","28.64%","2.71%","9.47%","532929","BSE"
"Bright Brothers Limited","112.00","114.00","121.70","109.15","62.00","-0.52","","1.79","2.00","0.07%","1.56%","4.20%","0.14%","0.25%","526731","BSE"
"Britannia Industries Ltd","4,782.75","4,905.00","4,926.00","4,695.00","2,776.00","75.67","63.20","0.46","22.00","9.48%","12.46%","13.74%","23.26%","36.94%","500825","BSE"
"Broadcast Initiatives Limited","2.07","","4.45","","2.07","-13.64","","","","-420.63%","-412.23%","-341.97%","-92.52%","","532816","BSE"
"Brooks Laboratories Ltd","105.00","107.05","162.00","104.25","98.35","-3.36","","","","3.40%","6.86%","9.77%","1.24%","1.59%","533543","BSE"
"Brushman (India) Limited","1.15","","1.91","","1.15","-1.45","","","","-2094.90%","-3412.36%","-2736.70%","-1.30%","-14.13%","590061","BSE"
"BS Ltd","1.34","1.38","3.87","1.33","1.10","1.72","0.78","","","-17.56%","-13.45%","-10.88%","-14.91%","-82.02%","533276","BSE"
"BSEL Infrastructure Realty Limited","4.65","4.75","7.92","4.55","3.11","-0.69","","","","605.99%","-205.61%","-173.46%","0.40%","0.83%","532123","BSE"
"BSL Ltd","68.00","69.20","94.00","67.30","52.55","3.52","19.33","1.76","1.20","1.25%","4.58%","8.28%","1.93%","7.23%","514045","BSE"
"Burnpur Cement Ltd","10.65","10.75","17.04","10.45","7.25","-7.78","","","","-72.47%","-41.20%","-24.74%","-13.94%","-70.06%","532931","BSE"
"Byke Hospitality Ltd","169.55","174.60","220.70","166.15","150.25","7.96","21.31","0.59","1.00","11.74%","18.31%","23.04%","18.31%","23.55%","531373","BSE"
"C & C Constructions Limited","92.80","94.00","109.00","88.00","14.50","35.96","2.58","","","1.00%","20.37%","32.88%","0.32%","24.88%","532813","BSE"
"Cadila Healthcare Ltd","429.40","438.50","558.00","428.00","329.95","13.20","32.53","1.12","3.20","15.41%","15.89%","19.81%","11.51%","23.50%","532321","BSE"
"Cairn India Limited","285.40","","313.05","","129.90","6.27","45.50","6.73","17.70","3.52%","-11.37%","41.37%","0.50%","0.57%","532792","BSE"
"Cals Refineries Ltd","0.10","","0.29","","0.09","0.00","","","","","","","-469.48%","","526652","BSE"
"Cambridge Technology Enterprises Limited","73.20","74.25","106.00","71.35","59.75","8.60","8.51","","","16.78%","20.60%","21.94%","24.55%","40.14%","532801","BSE"
"Camlin Fine Sciences Ltd","108.40","113.80","118.90","107.35","71.00","-2.99","","0.42","0.45","-1.41%","3.15%","7.23%","-1.36%","-7.36%","532834","BSE"
"Camphor and Allied Products Ltd","1,070.00","1,119.95","1,140.00","1,040.05","645.00","49.41","21.66","0.14","1.50","6.88%","11.44%","14.75%","7.58%","14.40%","500078","BSE"
"Camson Bio Technologies Ltd","19.15","20.15","35.15","19.15","15.00","0.30","63.97","","","-188.85%","-171.50%","-121.54%","-17.08%","-38.39%","538858","BSE"
