"2017-11-30 22:02:17.172768"
"StockName","LastTrade","LastHi","Hi52","LastLo","Lo52","EPS","PE","DivYield","LastDiv","NetProfitMargin","OperatingMargin","EBITDMargin","ReturnOnAverageAssets","ReturnOnAverageEquity","ExchangeCode","Exchange"
"3i Infotech Ltd","3.85","3.92","6.79","3.82","3.60","0.56","6.82","","","9.37%","14.29%","15.63%","6.94%","65.62%","532628","BSE"
"3M India Ltd","15,470.00","15,500.00","16,649.80","15,345.10","10,055.00","229.56","67.39","","","9.80%","13.10%","15.01%","14.33%","21.74%","523395","BSE"
"8K Miles Software Services Ltd","981.25","1,014.65","1,024.00","973.05","364.75","40.31","24.34","0.10","1.00","23.50%","31.16%","34.84%","31.06%","37.92%","512161","BSE"
"AK Capital Services Ltd","541.00","571.80","635.00","540.00","252.60","","","1.11","6.00","17.25%","25.51%","26.30%","2.65%","12.78%","530499","BSE"
"Ambalal Sarabhai Enterprises Ltd","11.00","11.14","15.49","10.33","6.31","","","","","-12.01%","-11.48%","-2.85%","-9.96%","-65.93%","500009","BSE"
"A2z Infra Engineering Ltd","41.10","42.80","52.70","40.75","33.65","13.67","3.01","","","-30.71%","-7.94%","6.54%","-9.38%","-62.51%","533292","BSE"
"Aadi Industries Limited","1.03","","1.52","","0.99","0.01","74.64","","","","","","-1.74%","","530027","BSE"
"Dr Datsons Labs Ltd","6.29","","21.50","","5.48","34.38","0.18","","","0.11%","8.61%","13.46%","0.04%","0.13%","533412","BSE"
"Aarey Drugs and Pharmaceuticals Ltd","58.10","62.00","143.95","56.00","41.60","3.39","17.12","","","1.38%","2.24%","2.41%","4.08%","12.58%","524412","BSE"
"Aarti Drugs Ltd.","545.50","560.50","665.00","545.50","456.25","30.45","17.91","0.18","1.00","6.74%","12.78%","16.00%","7.04%","21.27%","524348","BSE"
"Aarti Industries Ltd","910.00","914.95","1,024.95","910.00","672.00","","","0.93","1.00","10.35%","16.79%","20.67%","10.13%","25.26%","524208","BSE"
"Aarvee Denims & Exports Ltd.","46.15","47.25","99.25","45.75","26.55","-1.43","","","","0.14%","4.56%","8.48%","0.14%","0.45%","514274","BSE"
"Aarya Global Shares and Securities Ltd","0.46","","1.60","","0.44","0.27","1.73","","","38.88%","45.84%","45.84%","3.86%","4.57%","531731","BSE"
"Aban Offshore Ltd","197.15","202.20","265.60","196.35","161.10","-184.70","","","","-59.21%","12.88%","52.77%","-5.34%","-32.89%","523204","BSE"
"ABB India Ltd","1,394.55","1,418.00","1,619.45","1,382.05","1,017.20","18.57","75.09","0.29","4.00","4.08%","5.92%","7.56%","4.95%","11.90%","500002","BSE"
"Abbott India Limited","5,290.00","5,290.00","5,401.30","5,081.60","3,996.00","147.49","35.87","0.76","40.00","9.41%","13.13%","13.69%","15.03%","21.42%","500488","BSE"
"ABC INDIA LIMITED","94.50","97.85","116.00","93.20","77.80","0.78","121.77","","","-12.57%","-11.29%","-9.21%","-18.88%","-44.62%","520123","BSE"
"Aditya Birla Chemicals (India) Limited","0.00","","251.95","","216.30","22.35","0.00","∞","5.00","3.31%","17.29%","21.91%","2.06%","8.58%","500057","BSE"
"Starlog Enterprises Ltd","65.00","69.40","122.00","65.00","48.25","-12.87","","","","-70.69%","-22.18%","21.47%","-7.39%","-39.58%","520155","BSE"
"ABG Shipyard Ltd","13.75","14.12","34.10","13.32","9.39","","","","","-200.06%","-62.58%","-40.56%","-7.25%","-88.79%","532682","BSE"
"Abhishek Corporation Limited","4.78","4.93","4.93","4.78","1.60","-71.62","","","","-743.63%","-68.74%","11.66%","-40.60%","","532831","BSE"
"ABL Bio Technologies Ltd","0.81","","1.85","","0.75","-0.14","","","","-2099.54%","-2099.54%","-1000.80%","-0.27%","-0.76%","526955","BSE"
"ABM Knowledgeware Ltd","109.00","112.00","180.00","104.00","104.00","9.14","11.93","1.15","1.25","20.04%","27.93%","29.70%","16.07%","17.24%","531161","BSE"
"Aditya Birla Money Ltd","76.85","76.95","164.45","76.00","25.10","1.80","42.78","","","5.84%","4.01%","6.55%","2.69%","18.87%","532974","BSE"
"ACC Ltd","1,671.60","1,687.55","1,869.00","1,662.00","1,270.10","43.01","38.87","1.02","11.00","5.17%","6.63%","11.85%","4.95%","7.64%","500410","BSE"
"Accel Frontline Limited","36.60","","81.80","","28.80","-8.05","","","","-2.35%","2.18%","4.90%","-3.68%","","532774","BSE"
"Accel Transmatic Ltd","3.35","","6.75","","3.35","-2.57","","","","-245.60%","-288.64%","-179.81%","-36.93%","","517494","BSE"
"Accentia Technologies Ltd (CN)","3.11","","13.75","","2.46","-12.53","","","","-174.48%","-150.75%","66.65%","-3.61%","-4.62%","531897","BSE"
"ACI Infocom Ltd","7.76","7.78","12.20","7.73","4.68","0.02","317.51","","","1.48%","-2.33%","-2.33%","0.96%","1.28%","517356","BSE"
"ACIL Cotton Industries Ltd","0.18","","0.19","","0.15","0.00","3,600.00","","","0.03%","0.03%","0.03%","","","530901","BSE"
"Acropetal Technologies Ltd","1.67","","2.99","","1.32","-0.54","","","","","","","-2.54%","","533330","BSE"
"Acrow India Ltd","136.05","","201.00","","125.05","-5.79","","","","-1273.36%","-6623.36%","-4725.00%","-1.35%","-1.43%","513149","BSE"
"Acrysil Ltd","594.00","621.00","621.00","586.00","440.00","20.36","29.17","0.84","5.00","5.56%","12.99%","16.16%","4.85%","10.88%","524091","BSE"
"Action Construction Equipment Limited","137.30","140.95","156.40","136.25","43.45","3.77","36.42","0.22","0.30","2.41%","3.87%","5.44%","3.02%","5.53%","532762","BSE"
"Action Financial Services India Ltd","9.40","9.40","12.15","9.40","6.20","0.04","240.35","","","-2.11%","-4.50%","7.18%","-0.19%","-0.60%","511706","BSE"
"Adani Enterprises Ltd","146.60","149.35","162.00","145.20","66.40","7.09","20.68","0.27","0.40","2.16%","4.94%","6.59%","1.81%","7.18%","512599","BSE"
"Adani Ports and Special Economic Zone Ld","398.85","402.00","443.35","392.00","257.25","18.19","21.93","0.33","1.30","46.12%","50.45%","65.74%","9.47%","25.21%","532921","BSE"
"Adani Power Ltd","35.35","36.00","46.30","35.25","25.90","-15.78","","","","-27.10%","-3.38%","26.25%","-8.38%","-117.97%","533096","BSE"
"ADC India Communications Limited","219.45","219.50","299.00","214.00","201.00","7.85","27.95","1.37","3.00","6.22%","5.41%","5.82%","6.82%","9.14%","523411","BSE"
"Addi Industries Ltd","10.35","10.40","11.50","10.35","6.88","0.11","94.60","","","224.87%","-769.23%","-544.40%","1.63%","1.67%","507852","BSE"
