"2017-12-01 15:11:27.636468"
"StockName","LastTrade","LastHi","Hi52","LastLo","Lo52","BookValue","EPS","PE","DivYield","LastDiv","NetProfitMargin","OperatingMargin","EBITDMargin","ReturnOnAverageAssets","ReturnOnAverageEquity","ExchangeCode","Exchange"
"532628","3.84","0","0","0","0","1.556","6.791","0","0","0.0","7.84%","14.66%","0.12014","0.06618","0.45153","532628","BSE"
"523395","15469.2","0","0","0","0","1088.67","2157.089","0","0","0.0","10.17%","13.84%","0.15722999","0.0","0.0","523395","BSE"
"530499","542.1","0","0","0","0","724.043","509.06","0","0","0.0","17.09%","58.26%","0.59016","0.0561","0.12729","530499","BSE"
"500009","10.95","0","0","0","0","2.548","18.304","0","0","0.0","-13.69%","-2.80%","0.00316","-0.01451","-0.65933","500009","BSE"
"524412","58.1","0","0","0","0","0.0","0.0","0","0","0.0","0%","0%","0.0","0.0","0.0","524412","BSE"
"500002","1394.55","0","0","0","0","158.153","421.876","0","0","0.0","4.48%","7.40%","0.09053001","0.05386","0.12294","500002","BSE"
"520123","94.6","0","0","0","0","49.405","238.337","0","0","0.0","-15.08%","-13.74%","-0.10751","0.0","0.0","520123","BSE"
"532682","13.89","0","0","0","0","161.558","86.734","0","0","0.0","-200.06%","-59.24%","-0.37341","-0.013409999","-0.78802","532682","BSE"
"531161","108.65","0","0","0","0","60.001","47.011","0","0","0.0","20.30%","28.25%","0.29627","0.0","0.0","531161","BSE"
"500410","1666.5","0","0","0","0","490.814","637.825","0","0","0.0","5.54%","7.61%","0.1257","0.0422","0.07435","500410","BSE"
"532774","36.6","0","0","0","0","-15.916","197.813","0","0","0.0","-4.07%","2.63%","0.045560002","0.02568","0.0","532774","BSE"
"517494","3.35","0","0","0","0","-22.705","0.997","0","0","0.0","-257.31%","-247.11%","-1.51992","0.0","0.0","517494","BSE"
"517356","7.76","0","0","0","0","1.48","1.637","0","0","0.0","1.74%","-2.46%","0.0","0.0","0.0","517356","BSE"
"513149","136.05","0","0","0","0","337.127","-0.049","0","0","0.0","0.00%","52,248.39%","0.0","0.0","0.0","513149","BSE"
"524091","594.6","0","0","0","0","178.027","345.347","0","0","0.0","5.50%","11.90%","0.15026","0.0","0.0","524091","BSE"
"532762","137.3","0","0","0","0","25.04","64.033","0","0","0.0","2.73%","4.25%","0.05883","0.03143","0.06021","532762","BSE"
"511706","9.4","0","0","0","0","20.167","4.237","0","0","0.0","14.08%","23.39%","0.0","0.0","0.0","511706","BSE"
"507852","10.35","0","0","0","0","19.278","0.142","0","0","0.0","224.77%","-769.20%","0.0","-0.0349","0.01673","507852","BSE"
"532727","4.27","0","0","0","0","-151.992","92.218","0","0","0.0","-129.96%","-27.61%","-0.11028","-0.04285","0.0","532727","BSE"
"532056","19.8","0","0","0","0","18.331","1.421","0","0","0.0","52.44%","50.54%","0.0","0.0","0.0","532056","BSE"
"511359","42.2","0","0","0","0","0.0","0.0","0","0","0.0","0%","0%","0.0","0.0","0.0","511359","BSE"
"530431","128.65","0","0","0","0","52.486","81.093","0","0","0.0","2.59%","2.08%","0.04853","0.0","0.0","530431","BSE"
"531047","5.93","0","0","0","0","12.589","12.559","0","0","0.0","-18.87%","-20.30%","-0.1992","0.0","0.0","531047","BSE"
"517552","7.0","0","0","0","0","-87.813","5.28","0","0","0.0","0.00%","-512.21%","0.0","-0.49021998","0.0","517552","BSE"
"531429","2.4","0","0","0","0","9.514","0.281","0","0","0.0","1.05%","1.29%","0.0301","0.0","0.0","531429","BSE"
"531686","5.23","0","0","0","0","6.075","1.962","0","0","0.0","-94.74%","-96.54%","-0.80969","0.0","0.0","531686","BSE"
