"20MICRONS","INE144J01027"
"3IINFOTECH","INE748C01020"
"3MINDIA","INE470A01017"
"63MOONS","INE111B01023"
"8KMILES","INE650K01021"
"A2ZINFRA","INE619I01012"
"AARTIDRUGS","INE767A01016"
"AARTIIND","INE769A01020"
"AARVEEDEN","INE273D01019"
"ABAN","INE421A01028"
"ABB","INE117A01022"
"ABBOTINDIA","INE358A01014"
"ABFRL","INE647O01011"
"ABGSHIP","INE067H01016"
"ABIRLANUVO","INE069A01017"
"ABMINTLTD","INE251C01017"
"ACC","INE012A01025"
"ACCELYA","INE793A01012"
"ACE","INE731H01025"
"ADANIENT","INE423A01024"
"ADANIPORTS","INE742F01042"
"ADANIPOWER","INE814H01011"
"ADANITRANS","INE931S01010"
"ADFFOODS","INE982B01019"
"ADHUNIK","INE400H01019"
"ADHUNIKIND","INE452L01012"
"ADLABS","INE172N01012"
"ADORWELD","INE045A01017"
"ADSL","INE102I01027"
"ADVANIHOTR","INE199C01026"
"ADVENZYMES","INE837H01020"
"AEGISCHEM","INE208C01025"
"AFL","INE020G01017"
"AGARIND","INE204E01012"
"AGCNET","INE676A01019"
"AGRITECH","INE449G01018"
"AHLEAST","INE926K01017"
"AHLUCONT","INE758C01029"
"AHLWEST","INE915K01010"
"AIAENG","INE212H01026"
"AICHAMP","INE768E01024"
"AIFL","INE428O01016"
"AJANTPHARM","INE031B01049"
"AJMERA","INE298G01027"
"AKSHARCHEM","INE542B01011"
"AKSHOPTFBR","INE523B01011"
"AKZOINDIA","INE133A01011"
"ALANKIT","INE914E01040"
"ALBERTDAVD","INE155C01010"
"ALBK","INE428A01015"
"ALCHEM","INE964B01033"
"ALEMBICLTD","INE426A01027"
"ALICON","INE062D01024"
"ALKALI","INE773I01017"
"ALKEM","INE540L01014"
"ALKYLAMINE","INE150B01021"
"ALLCARGO","INE418H01029"
"ALLSEC","INE835G01018"
"ALMONDZ","INE326B01027"
"ALOKTEXT","INE270A01011"
"ALPA","INE385I01010"
"ALPHAGEO","INE137C01018"
"ALPSINDUS","INE093B01015"
"AMARAJABAT","INE885A01032"
"AMBIKCO","INE540G01014"
"AMBUJACEM","INE079A01024"
"AMDIND","INE005I01014"
"AMRUTANJAN","INE098F01023"
"AMTEKAUTO","INE130C01021"
"ANANDAMRUB","INE618N01014"
"ANANTRAJ","INE242C01024"
"ANDHRABANK","INE434A01013"
"ANDHRACEMT","INE666E01012"
"ANDHRSUGAR","INE715B01013"
"ANGIND","INE017D01010"
"ANIKINDS","INE087B01017"
"ANKITMETAL","INE106I01010"
"ANSALAPI","INE436A01026"
"ANSALHSG","INE880B01015"
"ANTGRAPHIC","INE414B01021"
"APARINDS","INE372A01015"
"APCL","INE071F01012"
"APCOTEXIND","INE116A01024"
"APLAPOLLO","INE702C01019"
"APLLTD","INE901L01018"
"APOLLOHOSP","INE437A01024"
"APOLLOTYRE","INE438A01022"
"APOLSINHOT","INE451F01016"
"APTECHT","INE266F01018"
"ARCHIDPLY","INE877I01016"
"ARCHIES","INE731A01020"
"ARCOTECH","INE574I01035"
"ARIES","INE298I01015"
"ARIHANT","INE413D01011"
"ARIHANTSUP","INE643K01018"
"ARMANFIN","INE109C01017"
"AROGRANITE","INE210C01013"
"ARROWGREEN","INE570D01018"
"ARROWTEX","INE933J01015"
"ARSHIYA","INE968D01022"
"ARSSINFRA","INE267I01010"
"ARVIND","INE034A01011"
"ARVSMART","INE034S01021"
"ASAHIINDIA","INE439A01020"
"ASAHISONG","INE228I01012"
"ASAL","INE900C01027"
"ASHAPURMIN","INE348A01023"
"ASHIANA","INE365D01021"
"ASHIMASYN","INE440A01010"
"ASHOKA","INE442H01029"
"ASHOKLEY","INE208A01029"
"ASIANHOTNR","INE363A01022"
"ASIANPAINT","INE021A01026"
"ASIANTILES","INE022I01019"
"ASIL","INE988A01026"
"ASPINWALL","INE991I01015"
"ASSAMCO","INE442A01024"
"ASTEC","INE563J01010"
"ASTRAL","INE006I01046"
"ASTRAMICRO","INE386C01029"
"ASTRAZEN","INE203A01020"
"ATFL","INE209A01019"
"ATLANTA","INE285H01022"
"ATLASCYCLE","INE446A01017"
"ATUL","INE100A01010"
"ATULAUTO","INE951D01028"
"AURIONPRO","INE132H01018"
"AUROPHARMA","INE406A01037"
"AUSOMENT","INE218C01016"
"AUSTRAL","INE455J01027"
"AUTOAXLES","INE449A01011"
"AUTOIND","INE718H01014"
"AUTOLITIND","INE448A01013"
"AVANTIFEED","INE871C01020"
"AVTNPL","INE488D01021"
"AXISBANK","INE238A01034"
"AXISCADES","INE555B01013"
"AYMSYNTEX","INE193B01039"
"BAFNAPHARM","INE878I01014"
"BAGFILMS","INE116D01028"
"BAJAJ-AUTO","INE917I01010"
"BAJAJCORP","INE933K01021"
"BAJAJELEC","INE193E01025"
"BAJAJFINSV","INE918I01018"
"BAJAJHIND","INE306A01021"
"BAJAJHLDNG","INE118A01012"
"BAJFINANCE","INE296A01024"
"BALAJITELE","INE794B01026"
"BALAMINES","INE050E01027"
"BALKRISHNA","INE875R01011"
"BALKRISIND","INE787D01026"
"BALLARPUR","INE294A01037"
"BALMLAWRIE","INE164A01016"
"BALPHARMA","INE083D01012"
"BALRAMCHIN","INE119A01028"
"BANARBEADS","INE655B01011"
"BANARISUG","INE459A01010"
"BANCOINDIA","INE213C01025"
"BANG","INE863I01016"
"BANKBARODA","INE028A01039"
